listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.hdak.co.uk/viewproperty.php?id=1037,"65 Clifton Street, Lytham FY8 5ER",,Retail Unit,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/qeSr634WYcQNuuM.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/mwXQEK1zS7iYyGM.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/v6BJO2Xo4nnSakO.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/Vxqz1Vui7nC87Hu.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/eLmDCOZK6n5cXZR.jpg']","65 Clifton Street, Lytham FY8 5ER For Sale/Let Offers around £300,000 / £30,000 pa 813 ft² Fully fitted cafe / wine bar premises",813.0,,FY8 5ER,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Clifton Street 65 - Updated.pdf'],HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=1025,"313A Garstang Road, Fulwood, Preston PR2 9XJ",,Retail Unit,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/1gqgY6M6t6oEF85.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/lCpwI8wQ2G6fC1q.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/QAww2va1idqWPxC.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/fa95b1QRQ9DSwmP.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/8e66RmEJbHEdnL5.jpg']","313A Garstang Road, Fulwood, Preston PR2 9XJ To Let £25,000 pa 615 ft² Prominent corner sales shop with customer car parking",615.0,,PR2 9XJ,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/313a Garstang Road 27 Aug.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1040,"213 Watling Street Road, Fulwood, Preston PR2 8AB",,Retail Unit,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/76UW4UNtwfIl37f.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/ZFJ6mI60QygZ9uM.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/4z2z3LwFzG6HM2l.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/proYw912l6O3Li8.jpg']","213 Watling Street Road, Fulwood, Preston PR2 8AB To Let £10,000 pa 465 ft² Former 'Barracks Chippy' providing ground floor sales with basement storage",465.0,,PR2 8AB,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/213 Watling Street Road, Fulwood, Preston.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1024,"C21 Red Scar Business Park, Preston, PR2 5NE",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/YAt3GucI3VsD4cC.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/8NFN79Ke72trqCj.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/k0wQMey96Oz9I5E.jpg']","C21 Red Scar Business Park, Preston, PR2 5NE To Let £90,000 pa 18732 ft² Single-storey warehouse. 6.15 metre eaves height.",18732.0,,PR2 5NE,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/C21 Red Scar Business Park.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1020,"Dockland House, Anchorage Business Park, Riversway, Preston, PR2 2YL",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/BdUD496196L1a44.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/ac2o8Uq2rSrXRRN.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2pvrUQH13hOSXyi.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2zSBp6Jejy12e5o.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/EnBvU10R5ybyusf.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/ZHX3aEO8lidBJo1.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/i3IqIETs08Xtlwb.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/nHreJB6KKxjflmX.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/qlftZ1Zzva8TLCz.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2oHxyCUIocf2o6m.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/CvuCf2Wi7Ak5zxO.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/yger8sXKm0Y97C0.jpg']","Dockland House, Anchorage Business Park, Riversway, Preston, PR2 2YL To Let £75,000 pa 11700 ft² Detached warehouse/industrial premises with two-storey offices and car park and service yard",11700.0,,PR2 2YL,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Dockland House - Master.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1067,"B8-B10 Ribble Court, Red Scar Business Park, Longridge Road, Preston PR2 5NJ",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/dum7g8E343z56c4.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/If51YnjVQa9N5C7.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/5NDN32mhiv11Q23.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/7Gt7nUHQ24gcMXH.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/vC6qRSfK1LzlTP7.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/GEXeIHjxGDUviPV.jpg']","B8-B10 Ribble Court, Red Scar Business Park, Longridge Road, Preston PR2 5NJ To Let £60,000 pa 7000 ft² Modern warehouse/industrial unit with showroom and office facilities",7000.0,,PR2 5NJ,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/B8-B10 Ribble Court - Master amd.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1061,"Unit 27 Shay Lane Industrial Estate, Longridge PR3 3BT",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/OqTy1228zOYxlVg.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/fP7782V15Z982nM.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/Pk1KtHFulS0ww6J.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/vsG57JC796sNvJ3.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/7WIB0yarQPu8lM1.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/iX65kBDbeAnzXb6.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/21hQqV34lRwl1Jk.jpg']","Unit 27 Shay Lane Industrial Estate, Longridge PR3 3BT To Let £40,000 pa 5640 ft² Detached single storey warehouse/workshop with yard",5640.0,,PR3 3BT,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/27 Shay Lane Industrial Estate, Longridge - Master.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=996,"Unit 8 Aqueduct Mill, Aqueduct Street, Preston, PR1 7JN",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/e6dV2nmssW81r19.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/7GLzI2uJqa4Ue94.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/VyCL7fjSWQRGR4y.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/0wkKbLCwH9SsTwf.jpg']","Unit 8 Aqueduct Mill, Aqueduct Street, Preston, PR1 7JN To Let £20,000 pa 4784 ft² Secure unit forming part of Aqueduct Mill complex",4784.0,,PR1 7JN,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Merged PDF - Unit 8 Aqueduct Mill, Preston.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1008,"Unit A124 Tustin Way, Red Scar Business Park, Longridge Road, Preston, PR2 5LX",,Warehouse / Industrial,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/3mRlC2Fcep9RWBO.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/8MEzdu6U2pghaqG.jpg']","Unit A124 Tustin Way, Red Scar Business Park, Longridge Road, Preston, PR2 5LX To Let £32,000 pa 4000 ft² Modern single storey unit. 5 metres to eaves.",4000.0,,PR2 5LX,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/A124 Tustin Way.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1066,"Unit 12 Tomlinson Road Business Park, Leyland PR25 2DY",,Warehouse / Industrial,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/T2awY2VETUr9bMX.jpg'],"Unit 12 Tomlinson Road Business Park, Leyland PR25 2DY To Let £35,000 pa 3000 ft² To be refurbished, approx 3,000 sq ft lofty warehouse unit with mezzanine and large gated concrete yard area",3000.0,,PR25 2DY,[],HDAK,,,,,,,,To Let
