listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://harrocks.co.uk/2024/10/15/29-chapel-lane-formby-l37-4dl/,"29 Chapel Lane, Formby L37 4DL",,,['https://harrocks.co.uk/wp-content/uploads/2024/10/Formby-29-Chapel-Lane-400x250.jpg'],"Formby is an affluent Merseyside suburb located approximately 13 miles north of Liverpool, 6 miles south of Southport. The subject property is located on Chapel Lane, the prime retail pitch within the centre of the town. The premises are directly adjacent to Boots Chemist and close to other nearby national occupiers including Marks & Spencer, Waitrose, Iceland, Caffè Nero and Costa Coffee. Please email  [email protected]  or call 07768 857 688",,,L37 4DL,https://harrocks.co.uk/wp-content/uploads/2024/10/Harrocks-29-Chapel-Lane-Formby.pdf,Harrocks Commercial Property,,,,,,,,To Let
https://harrocks.co.uk/2023/01/04/56-st-annes-road-west-lytham-st-annes/,,,,['https://harrocks.co.uk/wp-content/uploads/2023/01/St-Annes-Barclays-400x250.jpg'],"St Annes-on-the-Sea is an affluent and prosperous Lancashire resort and commuter town located approximately 19 miles west of Preston and 5 miles south of Blackpool. The subject property is located on St Annes Road West, the prime retail pitch and occupies a prominent corner trading position with return frontage to Park Road. The immediate location houses national multiple retailers including Boots the Chemist, New Look, Home Bargains, Superdrug and Card Factory. Other nearby occupiers include Marks & Spencer Simply Food, Aldi and Tesco Express. Please email  [email protected]  or call 07768 857 688",,,,https://harrocks.co.uk/wp-content/uploads/2023/08/56-St-Annes-Road-West-Lytham-St-Annes-FY8-1UE-23-WEB.pdf,Harrocks Commercial Property,,,,,,,,To Let
https://harrocks.co.uk/2020/10/06/retail-requirement/,North West region including North Wales,,,['https://harrocks.co.uk/wp-content/uploads/2020/10/OOPS-Retail-Requirement-400x250.jpg'],The Client:  OOPS! Clearance Limited Frozen Food Factory Outlet Trading as OOPS! – The new retail concept of a Liverpool based established frozen food wholesale supplier Parent company guarantee offered First 2 units acquired in Bolton and Preston with immediate requirement for 10 further stores open and trading as quickly as possible throughout the north west region. Contact James Harrocks:  [email protected]  0776 8857 688. Please email  [email protected]  or call 07768 857 688,,,,https://harrocks.co.uk/wp-content/uploads/2020/10/OOPS-Retail-Requirement-Final.pdf,Harrocks Commercial Property,,,,,,,,
https://harrocks.co.uk/2020/08/18/to-let-4-12-shaw-st-liverpool-l6-1hr/,"4/12 Shaw St, Liverpool L6 1HR",,,['https://harrocks.co.uk/wp-content/uploads/2020/08/Staples-400x250.jpg'],Situated in a uniquely prominent location on the corner of Shaw Street and Brunswick Road adjacent to the Liverpool Hope University campus. Brunswick Road is the main northerly ring road of the city centre giving access to Edge Lane and the national motorway network and is one of the city centre’s busiest vehicular routes. The premises are situated opposite the Islington regeneration area which includes several new private and student residential developments.   Please email  [email protected]  or call 07768 857 688,,,L6 1HR,https://harrocks.co.uk/wp-content/uploads/2020/08/Harrocks_Liverpool_City_Centre_Warehouse.pdf,Harrocks Commercial Property,,,,,,,,
https://harrocks.co.uk/2019/08/28/retail-leisure-space-coventry-cv1-4fa/,"Retail/leisure space, Coventry CV1 4FA ​",,,['https://harrocks.co.uk/wp-content/uploads/2019/08/Coventry-UO-400x250.jpg'],"​   The space is located in City Village, Belgrade Plaza development in Coventry. Nearby occupiers include  Premier Inn ,  Pizza Express ,  Belgrade Theatre  and  The Artisan Bar & Grill  amongst others. Please email  [email protected]  or call 07768 857 688",,,CV1 4FA,https://harrocks.co.uk/wp-content/uploads/2019/08/City-Village-Coventry.pdf,Harrocks Commercial Property,,,,,,,,
https://harrocks.co.uk/2019/02/13/retail-leisure-new-build-bar-restaurant-premises-victoria-street-liverpool-l1-6bx/,"Victoria Street, Liverpool L1 6BX",,,['https://harrocks.co.uk/wp-content/uploads/2019/02/Victoria-St-L-400x250.jpg'],"These premises comprise high-quality, new-build retail/leisure accommodation forming part of the new Victoria Street multi-storey car park in Liverpool city centre. Please email  [email protected]  or call 07768 857 688",,,L1 6BX,https://harrocks.co.uk/wp-content/uploads/2019/02/Harrocks_Victoria_Street.pdf,Harrocks Commercial Property,,,,,,,,
https://harrocks.co.uk/2018/12/19/unit-a-14-aughton-st-ormskirk-l39-3bw/,"Units A & B, 14 Aughton Street, Ormskirk  L39 3BW",,,['https://harrocks.co.uk/wp-content/uploads/2018/12/Aughton-street-400x250.jpg'],"The property is located in a busy and prominent position on the pedestrianised section of Aughton Street. Nearby occupiers include  Iceland ,  Barclays ,  Costa Coffee  and  Dorothy Perkins  amongst others. Please email  [email protected]  or call 07768 857 688",,,L39 3BW,https://harrocks.co.uk/wp-content/uploads/2019/01/Harrocks_Ormskirk.pdf,Harrocks Commercial Property,,,,,,,,
